distrito_origem,distrito_destino,viagens
Alto de Pinheiros,Alto de Pinheiros,8636.4523041793
Alto de Pinheiros,Anhanguera,0.0
Alto de Pinheiros,Aricanduva,0.0
Alto de Pinheiros,Artur Alvim,0.0
Alto de Pinheiros,Barra Funda,796.7350457137
Alto de Pinheiros,Bela Vista,1280.2095037389
Alto de Pinheiros,Belém,0.0
Alto de Pinheiros,Bom Retiro,43.9053851629
Alto de Pinheiros,Brasilândia,234.1231604688
Alto de Pinheiros,Brás,44.5438486762
Alto de Pinheiros,Butantã,1145.9347192979
Alto de Pinheiros,Cachoeirinha,0.0
Alto de Pinheiros,Cambuci,0.0
Alto de Pinheiros,Campo Belo,136.639799393
Alto de Pinheiros,Campo Grande,259.55667415979997
Alto de Pinheiros,Campo Limpo,396.3168464124
Alto de Pinheiros,Cangaíba,2802.1069369164
Alto de Pinheiros,Capão Redondo,0.0
Alto de Pinheiros,Carrão,0.0
Alto de Pinheiros,Casa Verde,0.0
Alto de Pinheiros,Cidade Ademar,685.4265520635
Alto de Pinheiros,Cidade Dutra,0.0
Alto de Pinheiros,Cidade Líder,198.0055539734
Alto de Pinheiros,Cidade Tiradentes,0.0
Alto de Pinheiros,Consolação,1840.0406914970001
Alto de Pinheiros,Cursino,125.8896453641
Alto de Pinheiros,Ermelino Matarazzo,0.0
Alto de Pinheiros,Freguesia do Ó,0.0
Alto de Pinheiros,Grajaú,26.3350511384
Alto de Pinheiros,Guaianases,0.0
Alto de Pinheiros,Iguatemi,0.0
Alto de Pinheiros,Ipiranga,801.0183260883
Alto de Pinheiros,Itaim Bibi,3255.8573072143
Alto de Pinheiros,Itaim Paulista,31.8095130498
Alto de Pinheiros,Itaquera,0.0
Alto de Pinheiros,Jabaquara,785.1800969243
Alto de Pinheiros,Jaguara,43.4675449909
Alto de Pinheiros,Jaguaré,544.8821673472
Alto de Pinheiros,Jaraguá,1030.7647684044
Alto de Pinheiros,Jardim Helena,0.0
Alto de Pinheiros,Jardim Paulista,3121.0999789672
Alto de Pinheiros,Jardim São Luís,647.8529211729
Alto de Pinheiros,Jardim Ângela,2504.8165918111
Alto de Pinheiros,Jaçanã,180.7565996838
Alto de Pinheiros,José Bonifácio,0.0
Alto de Pinheiros,Lajeado,0.0
Alto de Pinheiros,Lapa,4535.3432423059
Alto de Pinheiros,Liberdade,212.67475480219997
Alto de Pinheiros,Limão,78.45045226
Alto de Pinheiros,Mandaqui,32.737063173
Alto de Pinheiros,Marsilac,0.0
Alto de Pinheiros,Moema,1293.953410521
Alto de Pinheiros,Mooca,278.9271112724
Alto de Pinheiros,Morumbi,503.2711303183
Alto de Pinheiros,Parelheiros,0.0
Alto de Pinheiros,Pari,0.0
Alto de Pinheiros,Parque do Carmo,0.0
Alto de Pinheiros,Pedreira,96.9095015311
Alto de Pinheiros,Penha,0.0
Alto de Pinheiros,Perdizes,6399.3554518620995
